4190x
x [revs]	P [mA]
0		2720
1		2718
2		2717
3		2713
4		2703
5		2686
6		2655
7		2603
7.5		2562
8		2499
8.25		2461
8.5		2411
8.75		2343
9.0		2262
9.125		2230
9.25		2177
9.375		2118
9.5		2062
9.625		1990
9.75		1920
9.875		1853
10		1773
10.125		1678
10.25		1611
10.375		1522
10.5		1436
10.625		1345
10.75		1256
10.875		1185
11		1070
11.125		987
11.25		915
11.375		824
11.5		753
11.625		690
11.75		610
11.875		530
12		487
12.25		371
12.5		285
12.75		218
13		160
13.25		117
13.5		90
13.75		64
14		49
14.5		28
15		18.8
16		10
17		6
18		4

3190 mA
x		P
0		1873
1		1870
2		1867
3		1859
4		1846
5		1825
6		1784
7		1702
7.25		1670
7.5		1630
7.75		1578
8		1515
8.25		1443
8.5		1362
8.75		1263
9		1150
9.125		1080
9.25		1042
9.375		978
9.5		920
9.625		856
9.75		798
9.875		727
10		683
10.125		612
10.25		559
10.375		513
10.5		461
10.625		403
10.75		364
10.875		323
11		289
11.25		220
11.5		167
11.75		130
12		94
12.25		67
12.5		51
12.75		37
13		27
13.5		16
14		10
15		6
16		3.7

2590 mA
x		P
0		1350
1		1348
2		1342
3		1333
4		1312
5		1273
5.5		1240
6		1190
6.25		1157
6.5		1111
6.75		1060
7		1005
7.125		966
7.25		940
7.375		903
7.5		864
7.625		816
7.75		785
7.875		735
8		697
8.125		660
8.25		615
8.375		561
8.5		525
8.625		483
8.75		430
8.875		400
9		368
9.125		331
9.25		294
9.375		259
9.5		232
9.75		181
10		140
10.25		108
10.5		77
10.75		56
11		42
11.25		31
11.5		23
12		13
13		5.6
14		3.5
15		2.3

1990
x		P
0		865
1		862
2		858
3		850
4		835
5		804
5.5		777
6		736
6.25		710
6.5		678
6.75		642
7		603
7.125		574
7.25		555
7.375		528
7.5		499
7.625		476
7.75		450
7.875		427
8		392
8.125		365
8.25		340
8.375		314
8.5		289
8.625		263
8.75		243
8.875		219
9		196
9.25		157
9.5		124
9.75		95
10		74
10.5		41
11		21
12		6.7
13		3.3
14		2
