4190mA

x		P
0		2663
1		2653
2		2628
3		2589
4		2514
4.5		2452
4.75		2417
5		2366
5.25		2313
5.5		2245
5.75		2161
6		2075
6.125		2030
6.25		1966
6.375		1900
6.5		1830
6.625		1740
6.75		1675
6.875		1600
7		1512
7.125		1450
7.25		1355
7.375		1275
7.5		1160
7.625		1113
7.75		1002
7.875		915
8		844
8.125		790
8.25		705
8.375		615
8.5		562
8.625		515
8.75		440
8.875		388
9		345
9.125		309
9.25		274
9.5		205
9.75		150
10		112
10.25		87
10.5		63
10.75		46
11		36
11.5		22
12		13
12.5		8
13		5
