Meas 1 y
1990 mA
y [rev]		P [mW]
0		857
1		855
2		852
3		850
4		848
5		842
6		832
7		821
8		809
9		791
10		763
10.5		745		
11		722
11.5		699
12		672
12.25		657
12.5		642
12.75		630
13		615
13.25		598
13.5		582
13.75		565
14		548
14.25		530
14.5		511
14.75		493
15		473
15.25		456
15.5		433
15.75		412
16		394
16.25		373
16.5		350
16.75		329
17		309
17.25		288
17.5		267
17.75		246
18		228
18.25		209
18.5		191
18.75		173
19		159
19.25		145
19.5		133
19.75		121
20		112
20.25		103
20.5		94
20.75		85
21		80
21.25		73
21.5		67
21.75		61
22		57
22.25		53
22.5		49
22.75		45
23		42
23.25		39
23.5		37
24		32
25		25
26		19
27		15
27.75		12

2590mA
y		P
0		1338
1		1336
2		1333
3		1330
4		1328
5		1325
6		1315
7		1298
8		1280
9		1257
10		1220
11		1173
11.5		1143
12		1108
12.25		1090
12.5		1073
12.75		1052
13		1028
13.25		1001
13.5		973
13.75		945
14		910
14.125		896
14.25		874
14.375		855
14.5		835
14.625		817
14.75		795
14.875		782
15		757
15.125		738
15.25		711
15.375		692
15.5		670
15.625		650
15.75		630
15.875		611
16		588
16.25		545
16.5		509
16.75		469
17		432
17.25		394
17.5		355
17.75		321
18		294
18.25		262
18.5		235
18.75		208
19		185
19.25		165
19.5		149
19.75		135
20		123
20.5		107
21		94
21.5		83
22		74
22.5		66
23		58
24		47
25		38
26		30
27		25
27.5		22.5

3190mA
y		P
0		1838
1		1835
2		1833
3		1833
4		1832
5		1830
6		1827
7		1825
8		1823
9		1815
10		1797
11		1770
12		1737
13		1691
13.5		1662
14		1630
14.5		1598
15		1566
15.5		1522
15.75		1494
16		1463
16.25		1421
16.5		1376
16.75		1320
17		1260
17.25		1190
17.5		1109
17.75		1039
18		0.966
18.125		922
18.25		891
18.375		850
18.5		810
18.625		777
18.75		740
18.875		689
19		663
19.125		633
19.25		598
19.5		535
19.75		483
20		431
20.25		388
20.5		341
20.75		300
21		263
21.25		228
21.5		200
21.75		175
22		157
22.25		139
22.5		127
23		113
23.5		105
24		99
24.5		92
25		85
25.5		76
26		70
26.5		62
27		55
27.5		50
28		45
28.5		42
29		39
29.5		36.5
30		34

4190
y		P
0		2644
1		2641
2		2638
3		2636
4		2635
5		2633
6		2620
7		2582
7.5		2550
8		2510
8.5		2459
8.75		2429
9		2400
9.25		2373
9.5		2349
9.75		2333
10		2317
10.25		2307
10.5		2297
10.75		2285
11		2267
11.25		2235
11.5		2187
11.75		2120
12		2036
12.125		1976
12.25		1910
12.375		1855
12.5		1790
12.625		1707
12.75		1620
12.875		1570
13		1480
13.125		1402
13.25		1315
13.375		1215
13.5		1129
13.625		1060
13.75		990
13.875		914
14		840
14.125		775
14.25		705
14.375		657
14.5		600
14.625		551
14.75		512
14.875		484
15		445
15.125		410
15.25		380
15.375		355
15.5		325
15.75		290
16		258
16.25		230
16.5		206
16.75		187
17		174
17.5		156
18		150
18.5		148
19		140
19.5		127
20		106
20.5		86
21		69
21.5		58
22		51
22.5		45
23		42
23.5		40
24		37
25		33

