4190mA
y		P
0		2650
1		2643
2		2605
2.5		2573
3		2520
3.25		2494
3.5		2461
3.75		2428
4		2390
4.25		2353
4.5		2320
4.75		2285
5		2260
5.25		2240
5.5		2224
5.75		2201
6		2163
6.25		2112
6.5		2028
6.75		1930
7		1780
7.25		1613
7.375		1540
7.5		1465
7.625		1379
7.75		1265
7.875		1204
8		1093
8.125		1035
8.25		950
8.375		875
8.5		820
8.625		750
8.75		680
8.875		639
9		584
9.25		482
9.5		405
9.75		333
10		270
10.25		220
10.5		182
10.75		157
11		141
11.5		130
12		126
12.5		113
13		95
13.5		74
14		57
14.5		46
15		36
16		26
17		28
18		19
19		8
20		1.8
