1990
Revs[x] Power[mW]
0       27.20
1       27.20
2       26.70
2.5     26.50
3       26.00
3.5     25.40
3.75    24.95
4       24.45
4.25    23.90
4.5     23.15
4.75    22.55
5       21.70
5.125   21.30
5.25    20.90
5.375   20.40
5.5     19.85
5.625   19.40
5.75    19.00
5.875   18.45
6       17.95
6.125   17.50
6.25    16.95
6.375   16.50
6.5     15.80
6.625   15.30
6.75    14.70
6.875   14.15
7       13.50
7.125   12.90
7.25    12.35
7.375   11.90
7.5     11.25
7.625   10.70
7.75    10.15
7.875   9.70
8       9.05
8.125   8.60
8.25    8.05
8.5     7.00
8.75    6.25
9       5.23
9.25    4.60
9.5     2.85
9.75    3.30
10      2.80
10.5    1.90
11      1.25
11.5    0.75
12      0.40
13      0.15
14      0.15

4190
Revs[x] Power[mW]
0       239
1       238.5
2       235
2.5     232
3       227.5
3.25    225
3.5     221
3.75    218.5
4       214
4.25    209.5
4.5     204
4.625   201
4.75    198
4.875   196
5       192.5
5.125   188.5
5.25    185
5.375   182
5.5     177
5.625   172
5.75    168.5
5.875   164
6       159
6.125   155
6.25    150
6.375   145
6.5     139
6.625   134
6.75    129
6.875   123
7       117
7.125   112.5
7.25    107.5
7.375   102.5
7.5     96.5
7.625   92
7.75    87
7.875   82
8       76
8.125   71.5
8.25    67.5
8.375   63
8.5     58
8.625   54.5
8.75    51
8.875   47.5
9       43.5
9.25    37.2
9.5     31.0
9.75    26.9
10      21.7
10.25   18.3
10.5    14.7
11      9
11.5    4.9
12      2.2
13      0.3
14      0.2
15      0.13
16      0.13
