1990
Revs[x] Power[mW]
0       28.50
1       28.40
2       27.80
2.5     27.20
2.75    26.60
3       25.70
3.125   25.35
3.25    24.75
3.375   24.05
3.5     23.33
3.625   22.55
3.75    21.50
3.875   20.30
4       19.37
4.125   18.30
4.25    16.95
4.375   15.62
4.5     14.50
4.625   13.30
4.75    11.90
4.875   10.89
5       9.62
5.125   8.47
5.25    7.10
5.375   5.96
5.5     5.12
5.675   4.35
5.75    3.41
5.875   2.79
6       2.29
6.25    1.62
6.5     1.10
6.75    0.79
7       0.62
7.5     0.44
8       0.30
9       0.20
10      0.17
11      0.17

4190
Revs[x] Power[mW]
0       253
1       252
1.5     250
1.75    248
1.875   246
2       244.5
2.125   243
2.25    241
2.375   239
2.5     238
2.625   237
2.75    233.5
2.875   231
3       228
3.125   225
3.25    222
3.375   218
3.5     213
3.625   208
3.75    201
3.875   195
4       186
4.125   179
4.25    171
4.375   162.5
4.5     151
4.625   140
4.75    127
4.875   118
5       105.5
5.125   93
5.25    82
5.375   71
5.5     62
5.625   51
5.75    41.4
5.875   35.7
6       29.2
6.125   24.5
6.25    19.5
6.375   16
6.5     12.9
6.625   10.2
6.75    8.1
6.875   6.9
7       5.7
7.125   4.9
7.25    4.35
7.5     3.58
8       2.6
9       1.24
10      0.85
11      0.65
12      0.55
13      0.45
14      0.45
